Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
Panorama City Medical Center,Panorama City,218,"8,693","33,384",California
Paradise Valley Hospital,National City,291,"8,313","45,720",California
Parkview Community Hospital Medical Center,Riverside,191,"8,149","36,311",California
Patients Hospital of Redding,Redding,10,159,306,California
Petaluma Valley Hospital,Petaluma,80,"2,700","10,742",California
PIH Health Hospital - Downey,Downey,199,"8,063","30,213",California
PIH Health Hospital - Whittier,Whittier,384,"17,532","73,313",California
Pioneers Memorial Hospital,Brawley,107,"4,992","20,569",California
Placentia-Linda Hospital,Placentia,114,"2,967","9,735",California
Pomona Valley Hospital Medical Center,Pomona,412,"21,427","100,547",California
Porterville Developmental Center,Porterville,44,50,811,California
Providence Holy Cross Medical Center,Mission Hills,377,"17,839","81,440",California
Providence Little Company of Mary Medical Center San Pedro,San Pedro,356,"5,330","24,644",California
Providence Little Company of Mary Medical Center Torrance,Torrance,442,"17,980","74,460",California
Providence Saint Joseph Medical Center,Burbank,392,"15,964","73,132",California
Providence Tarzana Medical Center,Tarzana,246,"12,823","52,685",California
Queen of the Valley Medical Center,Napa,166,"6,423","29,505",California
Rancho Los Amigos National Rehabilitation Center,Downey,210,"1,899","21,353",California
Rancho Springs Medical Center,Murrieta,240,"15,834","52,738",California
Redlands Community Hospital,Redlands,229,"11,177","46,614",California
Redwood City Medical Center,Redwood City,149,"8,205","29,624",California
Regional Medical Center of San Jose,San Jose,258,"14,893","80,140",California
Richmond Medical Center,Richmond,0,0,0,California
Riverside Community Hospital,Riverside,478,"24,300","122,460",California
Riverside Medical Center,Riverside,226,"10,014","44,187",California
Riverside University Medical Center,Moreno Valley,439,"19,161","108,469",California
Robert E. Bush Naval Hospital,Twentynine Palms,0,0,0,California
Ronald Reagan UCLA Medical Center,Los Angeles,445,"22,945","166,121",California
Sacramento Medical Center,Sacramento,287,"12,242","49,780",California
Saddleback Medical Center,Laguna Hills,248,"11,939","46,100",California
Saint Agnes Medical Center,Fresno,385,"24,569","118,121",California
Saint Bernardine Medical Center,San Bernardino,328,"15,307","66,653",California
Saint Elizabeth Community Hospital,Red Bluff,49,"3,191","10,864",California
Saint Francis Medical Center,Lynwood,374,"19,807","101,094",California
Saint Francis Memorial Hospital,San Francisco,211,"3,621","17,732",California
Saint John's Pleasant Valley Hospital,Camarillo,155,"3,806","14,616",California
Saint John's Regional Medical Center,Oxnard,265,"10,593","50,030",California
Saint Joseph Hospital,Orange,446,"19,280","81,128",California
Saint Joseph Hospital Acute Rehabilitation Unit,Eureka,0,0,0,California
Saint Joseph Hospital Eureka,Eureka,149,"6,914","33,960",California
Saint Joseph's Medical Center,Stockton,348,"20,618","96,677",California
Saint Jude Medical Center,Fullerton,320,"14,179","63,334",California
Saint Louise Regional Hospital,Gilroy,72,"3,023","11,489",California
Saint Mary Medical Center,Apple Valley,212,"14,145","67,995",California
Saint Mary's Medical Center,San Francisco,159,"3,875","19,584",California
Saint Rose Hospital,Hayward,195,"4,941","22,139",California
Salinas Valley Memorial Hospital,Salinas,240,"11,385","48,314",California
San Antonio Regional Hospital,Upland,363,"17,726","71,312",California
San Dimas Community Hospital,San Dimas,95,"3,578","13,199",California
San Francisco VA Medical Center,San Francisco,0,0,0,California
San Gabriel Valley Medical Center,San Gabriel,273,"8,411","41,494",California
San Gorgonio Memorial Hospital,Banning,61,"2,858","10,460",California
San Joaquin General Hospital,French Camp,196,"10,432","48,402",California
San Jose Medical Center Main Campus,San Jose,235,"11,607","41,678",California
San Leandro Hospital,San Leandro,45,"2,854","12,095",California
San Leandro Medical Center,San Leandro,206,"11,608","44,320",California
San Mateo Medical Center,San Mateo,508,"2,292","13,731",California
San Rafael Medical Center,San Rafael,116,"4,133","15,002",California
San Ramon Regional Medical Center,San Ramon,123,"4,730","18,419",California
Santa Barbara Cottage Hospital,Santa Barbara,363,"17,068","83,166",California
Santa Clara Medical Center,Santa Clara,327,"18,661","83,191",California
Santa Clara Valley Medical Center,San Jose,974,"21,100","120,937",California
Santa Paula Hospital,Santa Paula,0,0,0,California
Santa Rosa Hospital,Santa Rosa,173,"9,456","35,672",California
Santa Rosa Memorial Hospital,Santa Rosa,298,"12,004","67,738",California
Scripps Green Hospital,La Jolla,150,"8,028","29,500",California
Scripps Memorial Hospital Encinitas,Encinitas,193,"12,103","48,340",California
Scripps Memorial Hospital La Jolla,La Jolla,365,"18,731","87,972",California
Scripps Mercy Hospital Chula Vista,Chula Vista,173,"9,592","47,697",California
Scripps Mercy Hospital San Diego,San Diego,523,"29,399","130,930",California
Sequoia Hospital,Redwood City,208,"5,412","21,850",California
Seton Medical Center,Daly City,434,"4,477","19,390",California
Seton Medical Center Coastside,Moss Beach,0,0,0,California
Sharp Chula Vista Medical Center,Chula Vista,343,"15,528","75,139",California
Sharp Coronado Hospital,Coronado,181,"2,080","6,896",California
Sharp Grossmont Hospital,La Mesa,524,"26,552","116,601",California
Sharp Mary Birch Hospital for Women and Newborns,San Diego,0,0,0,California
Sharp Memorial Hospital,San Diego,862,"33,122","169,224",California
Shasta Regional Medical Center,Redding,226,"6,736","30,269",California
Sherman Oaks Hospital,Sherman Oaks,153,"5,070","20,540",California
Sierra Nevada Memorial Hospital,Grass Valley,104,"5,365","19,665",California
Sierra View District Hospital,Porterville,163,"6,182","26,404",California
Sierra Vista Regional Medical Center,San Luis Obispo,162,"5,615","26,366",California
Sonoma Developmental Center,Eldridge,13,59,"1,024",California
Sonoma Specialty Hospital,Sebastopol,37,"5,074","1,590",California
Sonoma Valley Hospital,Sonoma,75,"1,022","3,940",California
South Bay Medical Center,Harbor City,257,"10,793","40,205",California
South Coast Global Medical Center,Santa Ana,178,"3,296","14,535",California
South Sacramento Medical Center,Sacramento,209,"14,971","56,467",California
Southern California Hospital at Culver City,Culver City,406,"7,021","35,870",California
Southern California Hospital at Hollywood,Hollywood,612,"19,465","107,073",California
St. Mary Medical Center Long Beach,Long Beach,284,"11,687","56,990",California
Stanford Health - ValleyCare - Pleasanton,Pleasanton,0,0,0,California
Stanford Health Care - ValleyCare-Livermore,Livermore,207,"8,287","27,043",California
Stanford Hospital,Stanford,477,"26,067","144,224",California
Stanislaus Surgical Hospital,Modesto,23,476,889,California
Sutter Amador Hospital,Jackson,52,"2,184","9,432",California
Sutter Auburn Faith Hospital,Auburn,64,"3,070","10,265",California
Sutter Coast Hospital,Crescent City,49,"2,195","7,875",California
Sutter Davis Hospital,Davis,48,"3,038","13,160",California
Sutter Delta Medical Center,Antioch,145,"6,710","29,071",California
Sutter Maternity and Surgery Center of Santa Cruz,Santa Cruz,30,678,"4,693",California
Sutter Medical Center,Sacramento,523,"24,722","140,335",California
Sutter Roseville Medical Center,Roseville,328,"17,463","75,374",California
Sutter Santa Rosa Regional Hospital,Santa Rosa,84,"5,603","28,594",California
Sutter Solano Medical Center,Vallejo,106,"3,786","18,322",California
Sutter Surgical Hospital - North Valley,Yuba City,14,485,"1,154",California
Sutter Tracy Community Hospital,Tracy,77,"3,405","11,977",California
Temecula Valley Hospital,Temecula,140,"8,989","36,273",California
Thousand Oaks Surgical Hospital,Thousand Oaks,21,"1,284","2,877",California
Torrance Memorial Medical Center,Torrance,512,"26,197","109,202",California
Tri-City Medical Center,Oceanside,305,"11,454","55,090",California
Twin Cities Community Hospital,Templeton,122,"4,538","18,120",California
UC Davis Medical Center,Sacramento,617,"29,526","185,940",California
UC San Diego Health - La Jolla Jacobs Medical Center,La Jolla,0,0,0,California
UC San Diego Health System - Hillcrest,San Diego,701,"33,464","208,561",California
UCI Health,Orange,414,"20,911","105,093",California
UCLA Mattel Children's Hospital,Los Angeles,0,0,0,California
"UCLA Medical Center, Santa Monica",Santa Monica,281,"15,321","78,570",California
UCSF Medical Center at Mission Bay,San Francisco,0,0,0,California
UCSF Medical Center at Parnassus,San Francisco,785,"35,170","235,547",California
UCSF Medical Center Betty Irene Moore Women's Hospital,San Francisco,0,0,0,California
USC Norris Comprehensive Cancer Center,Los Angeles,60,"1,556","13,660",California
USC Verdugo Hills Hospital,Glendale,165,"5,749","19,008",California
VA Central California Health Care System,Fresno,0,0,0,California
VA Greater Los Angeles Healthcare System - West Los Angeles Medical Center,Los Angeles,0,0,0,California
VA Loma Linda Healthcare System,Loma Linda,0,0,0,California
VA Long Beach Healthcare System,Long Beach,0,0,0,California
VA Northern California Health Care System - Valley Division - Sacramento VA Medical Center,Mather,0,0,0,California
VA Palo Alto Health Care System - Palo Alto Division,Palo Alto,0,0,0,California
VA San Diego Healthcare System,San Diego,0,0,0,California
Vacaville Medical Center,Vacaville,140,"5,904","25,547",California
Vallejo Hospital & Medical Offices,Vallejo,248,"8,475","34,738",California
Valley Presbyterian Hospital,Van Nuys,350,"12,970","71,916",California
Ventura County Medical Center,Ventura,272,"13,756","47,378",California
Victor Valley Global Medical Center,Victorville,101,"5,263","21,496",California
Walnut Creek Medical Center,Walnut Creek,554,"17,757","90,557",California
Walnut Creek Medical Center,Walnut Creek,233,"11,768","49,160",California
Washington Hospital,Fremont,320,"12,063","63,210",California
Watsonville Community Hospital,Watsonville,106,"3,618","16,606",California
Weed Army Community Hospital,Fort Irwin,0,0,0,California
West Anaheim Medical Center,Anaheim,219,"6,551","24,450",California
West Covina Medical Center,West Covina,46,563,"1,859",California
West Hills Hospital & Medical Center,West Hills,228,"8,802","41,828",California
West Los Angeles Medical Center,Los Angeles,265,"8,946","31,484",California
Whittier Hospital Medical Center,Whittier,178,"7,619","30,949",California
Woodland Memorial Hospital,Woodland,108,"3,490","10,719",California
Zuckerberg San Francisco General Hospital and Trauma Center,San Francisco,397,"15,244","86,146",California
Evans United States Army Hospital,Fort Carson,0,0,0,Colorado
Rocky Mountain Regional VA Medical Center,Aurora,0,0,0,Colorado
Animas Surgical Hospital,Durango,12,505,885,Colorado
Avista Adventist Hospital,Louisville,108,"4,716","17,618",Colorado
Banner Fort Collins Medical Center,Fort Collins,23,"1,202","3,717",Colorado
Castle Rock Adventist Hospital,Castle Rock,53,"3,677","11,906",Colorado
Colorado Plains Medical Center,Fort Morgan,50,950,"2,377",Colorado
Community Hospital,Grand Junction,53,"2,777","6,905",Colorado
Delta County Memorial Hospital,Delta,49,"1,586","5,150",Colorado
Denver Health,Denver,453,"17,751","95,409",Colorado
Foothills Hospital,Boulder,168,"7,637","27,028",Colorado
Good Samaritan Medical Center,Lafayette,183,"12,962","49,927",Colorado
Littleton Adventist Hospital,Littleton,176,"9,833","40,909",Colorado
Longmont United Hospital,Longmont,131,"4,621","19,426",Colorado
Lutheran Medical Center,Wheat Ridge,282,"11,169","47,134",Colorado
McKee Medical Center,Loveland,115,"3,057","10,734",Colorado
Mercy Regional Medical Center,Durango,82,"4,296","14,998",Colorado
Montrose Memorial Hospital,Montrose,60,"3,031","7,382",Colorado
National Jewish Health Main Campus,Denver,24,50,187,Colorado
North Colorado Medical Center,Greeley,225,"10,375","47,757",Colorado
North Suburban Medical Center,Thornton,127,"7,623","29,693",Colorado
OrthoColorado Hospital,Lakewood,48,"2,889","5,398",Colorado
Parker Adventist Hospital,Parker,165,"8,362","31,359",Colorado
Parkview Medical Center,Pueblo,326,"14,214","66,306",Colorado
Penrose-St. Francis Health Services,Colorado Springs,468,"24,836","99,678",Colorado
Platte Valley Medical Center,Brighton,89,"3,063","11,541",Colorado
Porter Adventist Hospital,Denver,233,"7,686","32,923",Colorado
Presbyterian/Saint Luke's Medical Center,Denver,337,"10,264","80,604",Colorado
Regional Medical Center,Alamosa,49,"1,926","7,413",Colorado
Rose Medical Center,Denver,226,"11,221","48,255",Colorado
Saint Anthony Hospital,Lakewood,237,"11,621","56,073",Colorado
Saint Anthony North Hospital,Westminster,92,"5,982","20,389",Colorado
Saint Anthony Summit Medical Center,Frisco,34,"1,286","3,824",Colorado
Saint Francis Medical Center,Colorado Springs,0,0,0,Colorado
Saint Joseph Hospital,Denver,361,"18,901","91,305",Colorado
Saint Mary's Medical Center - SCL Health,Grand Junction,281,"15,864","53,745",Colorado
Saint Mary-Corwin Medical Center,Pueblo,42,"2,027","8,032",Colorado
Sky Ridge Medical Center,Lone Tree,272,"16,241","58,257",Colorado
Sterling Regional MedCenter,Sterling,25,"1,100","3,298",Colorado
Swedish Medical Center,Englewood,372,"19,627","95,774",Colorado
The Medical Center of Aurora,Aurora,329,"16,424","78,676",Colorado
UCHealth Broomfield Hospital,Broomfield,22,280,"2,304",Colorado
UCHealth Grandview Hospital,Colorado Springs,22,890,"1,970",Colorado
UCHealth Greeley Hospital,Greeley,0,0,0,Colorado
UCHealth Highlands Ranch Hospital,Highlands Ranch,0,0,0,Colorado
UCHealth Longs Peak Hospital,Longmont,50,"2,011","10,533",Colorado
UCHealth Medical Center of the Rockies,Loveland,174,"12,220","52,016",Colorado
UCHealth Memorial Hospital Central,Colorado Springs,537,"25,575","124,771",Colorado
UCHealth Memorial Hospital North,Colorado Springs,0,0,0,Colorado
UCHealth Poudre Valley Hospital,Fort Collins,280,"12,300","52,587",Colorado
UCHealth University of Colorado Hospital,Aurora,662,"34,516","195,282",Colorado
UCHealth Yampa Valley Medical Center,Steamboat Springs,39,"1,334","3,686",Colorado
VA Western Colorado Health Care System,Grand Junction,0,0,0,Colorado
Vail Health Hospital,Vail,56,"2,077","6,143",Colorado
Valley View Hospital,Glenwood Springs,41,"3,028","13,232",Colorado
Backus Hospital,Norwich,183,"9,702","42,224",Connecticut
Bridgeport Hospital,Bridgeport,371,"20,234","91,550",Connecticut
Bridgeport Hospital Milford Campus,Milford,106,"2,032","9,873",Connecticut
Bristol Hospital,Bristol,121,"6,132","22,226",Connecticut
Charlotte Hungerford Hospital,Torrington,108,"4,763","19,864",Connecticut
Danbury Hospital,Danbury,396,"18,083","86,259",Connecticut
Day Kimball Hospital,Putnam,104,"3,502","14,541",Connecticut
Greenwich Hospital,Greenwich,181,"10,359","48,780",Connecticut
Griffin Hospital,Derby,117,"6,621","25,823",Connecticut
Hartford Hospital,Hartford,938,"38,415","208,305",Connecticut
Johnson Memorial Hospital,Stafford Springs,70,"2,036","7,992",Connecticut
Lawrence & Memorial Hospital,New London,252,"13,022","54,482",Connecticut
Manchester Memorial Hospital,Manchester,171,"6,505","30,135",Connecticut
Masonicare Main Campus,Wallingford,425,645,"2,988",Connecticut
Middlesex Hospital,Middletown,229,"11,014","44,689",Connecticut
MidState Medical Center,Meriden,143,"8,621","34,565",Connecticut
New Milford Hospital,New Milford,85,"1,636","6,716",Connecticut
Norwalk Hospital,Norwalk,271,"11,127","48,152",Connecticut
Rockville General Hospital,Vernon,232,"2,026","15,315",Connecticut
